id,station,date,prcp,tobs,name,latitude,longitude,elevation
82,USC00513117,7/31/17,0,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
87,USC00513117,7/30/17,0,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
92,USC00513117,7/29/17,0.06,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
98,USC00513117,7/28/17,0.13,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
105,USC00513117,7/27/17,0,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
111,USC00513117,7/26/17,0.06,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
117,USC00513117,7/25/17,0.03,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
124,USC00513117,7/24/17,0.58,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
129,USC00513117,7/23/17,0.06,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
134,USC00513117,7/22/17,0.07,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
140,USC00513117,7/21/17,0,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
147,USC00513117,7/20/17,0.12,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
153,USC00513117,7/19/17,0,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
160,USC00513117,7/18/17,0.03,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
167,USC00513117,7/17/17,0.12,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
173,USC00513117,7/16/17,0.07,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
179,USC00513117,7/15/17,0.03,79,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
185,USC00513117,7/14/17,0.05,80,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
191,USC00513117,7/13/17,0.33,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
197,USC00513117,7/12/17,0.01,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
203,USC00513117,7/11/17,0.01,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
209,USC00513117,7/10/17,0,79,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
215,USC00513117,7/9/17,0.09,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
221,USC00513117,7/8/17,0.02,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
227,USC00513117,7/7/17,0.02,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
232,USC00513117,7/6/17,0,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
237,USC00513117,7/5/17,0,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
241,USC00513117,7/4/17,0.03,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
245,USC00513117,7/3/17,0.13,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
250,USC00513117,7/2/17,0.05,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
254,USC00513117,7/1/17,0.06,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
258,USC00513117,6/30/17,0.04,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
265,USC00513117,6/29/17,0.03,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
271,USC00513117,6/28/17,0.01,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
277,USC00513117,6/27/17,0,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
283,USC00513117,6/26/17,0.02,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
288,USC00513117,6/25/17,0.08,73,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
293,USC00513117,6/24/17,0,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
298,USC00513117,6/23/17,0,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
304,USC00513117,6/22/17,0.1,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
310,USC00513117,6/21/17,0.02,82,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
314,USC00513117,6/20/17,0.05,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
319,USC00513117,6/19/17,0.05,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
325,USC00513117,6/18/17,0.25,72,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
331,USC00513117,6/17/17,0.35,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
337,USC00513117,6/16/17,0.02,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
343,USC00513117,6/15/17,0.17,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
349,USC00513117,6/14/17,0.27,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
355,USC00513117,6/13/17,0.36,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
361,USC00513117,6/12/17,0.19,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
367,USC00513117,6/11/17,0.24,73,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
373,USC00513117,6/10/17,0.21,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
378,USC00513117,6/9/17,0.02,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
383,USC00513117,6/8/17,0.02,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
389,USC00513117,6/7/17,0,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
395,USC00513117,6/6/17,0,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
401,USC00513117,6/5/17,0,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
407,USC00513117,6/4/17,0.15,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
413,USC00513117,6/3/17,0.2,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
418,USC00513117,6/2/17,0.1,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
423,USC00513117,6/1/17,0.03,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
429,USC00513117,5/31/17,0.1,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
434,USC00513117,5/30/17,0.2,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
439,USC00513117,5/29/17,0.02,71,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
444,USC00513117,5/28/17,0.29,71,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
450,USC00513117,5/27/17,0,69,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
455,USC00513117,5/26/17,0.02,73,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
461,USC00513117,5/25/17,0.37,69,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
467,USC00513117,5/24/17,0.58,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
473,USC00513117,5/23/17,0.02,73,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
479,USC00513117,5/22/17,0,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
484,USC00513117,5/21/17,0,72,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
489,USC00513117,5/20/17,0,72,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
493,USC00513117,5/19/17,0.02,70,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
497,USC00513117,5/18/17,0.09,70,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
503,USC00513117,5/17/17,0.02,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
509,USC00513117,5/16/17,0.03,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
515,USC00513117,5/15/17,0.08,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
520,USC00513117,5/14/17,0.05,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
525,USC00513117,5/13/17,0.02,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
530,USC00513117,5/12/17,0.04,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
535,USC00513117,5/11/17,0.03,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
540,USC00513117,5/10/17,0.05,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
545,USC00513117,5/9/17,1.62,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
551,USC00513117,5/8/17,0.22,71,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
557,USC00513117,5/7/17,0.07,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
562,USC00513117,5/6/17,0,75,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
568,USC00513117,5/5/17,0,78,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
574,USC00513117,5/4/17,0,77,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
